국  적,성별,0세~4세,5세~9세,10세~14세,15세~19세,20세~24세,25세~29세,30세~34세,35세~39세,40세~44세,45세~49세,50세~54세,55세~59세,60세~64세,65세~69세,70세~74세,75세~79세,80세이상
튀  니  지,여,15,6,16,31,99,132,60,57,26,32,23,18,7,10,0,0,0
알  제  리,남,6,5,2,23,85,157,215,131,82,89,78,31,23,18,4,0,1
알  제  리,여,2,2,5,13,39,70,48,20,13,9,13,10,7,11,1,0,0
탄 자 니 아,남,0,0,4,9,29,62,97,113,116,103,64,31,19,5,2,1,0
탄 자 니 아,여,1,3,3,5,11,37,27,38,18,26,20,13,3,3,3,1,0
모 리 셔 스,남,7,8,6,7,26,64,46,43,28,42,37,16,25,18,12,7,7
모 리 셔 스,여,0,11,9,16,24,34,30,20,13,20,21,21,11,19,11,9,3
수      단,남,8,9,7,11,37,92,94,154,124,68,86,88,51,10,6,0,0
수      단,여,9,6,4,12,24,26,16,10,19,13,10,7,4,0,1,0,0
카  메  룬,남,3,0,9,10,38,137,145,126,72,63,29,24,9,2,2,0,0
카  메  룬,여,6,3,5,3,34,53,53,34,28,25,7,8,5,1,1,0,0
우  간  다,남,1,1,2,5,35,67,108,99,66,58,41,37,15,4,1,0,0
우  간  다,여,2,1,3,3,28,57,47,43,34,27,16,15,3,0,1,0,0
마다가스카르,남,1,0,9,2,8,13,14,18,36,35,23,18,7,2,0,0,0
마다가스카르,여,0,0,1,7,17,14,21,13,9,11,5,5,3,1,0,0,0
세  네  갈,남,3,2,0,5,26,66,112,81,72,61,51,23,23,9,1,1,0
세  네  갈,여,5,3,0,5,11,24,17,28,7,7,11,7,9,0,0,0,0
콩고민주공화국,남,0,1,1,11,18,46,79,59,72,54,79,47,34,12,2,0,0
콩고민주공화국,여,0,0,1,6,21,23,19,14,16,18,12,2,2,1,0,0,0
라이베리아,남,2,0,1,7,28,71,100,84,78,24,17,6,3,1,0,0,0
라이베리아,여,0,1,1,5,37,28,26,15,5,3,3,1,0,0,0,0,0
